Command,V.ScWidth,V.ScHeight,V.SplitRow,V.ActiveWin,V.WStartY,V.WHeight,V.CurRow,V.CurCol,V.FBCol,V.Slot0Stat,V.Slot1Stat
Initial State,80,30,0,1,0,30,0,0,71,"0,0,71","0,0,71"
display 1b 20 02 00 01 50 1d 07 00 00,80,30,1,1,1,29,0,0,70,"0,0,70","0,0,70"
echo LOWER PANE ACTIVE (80x30),80,30,1,1,1,29,1,0,70,"0,0,70","0,0,70"
display 1b 21 00,80,30,1,0,0,1,0,0,70,"0,0,70","1,0,70"
echo UPPER PANE ACTIVE (80x30),80,30,1,0,0,1,0,0,70,"0,0,70","1,0,70"
display 1b 21 01,80,30,1,1,1,29,1,0,70,"0,0,70","1,0,70"
echo BACK IN LOWER PANE,80,30,1,1,1,29,2,0,70,"0,0,70","1,0,70"
display 1b 24,80,30,0,1,0,30,3,0,70,"0,0,70","1,0,70"
echo SPLIT ENDED - COORDINATES NORMALIZED,80,30,0,1,0,30,4,0,70,"0,0,70","1,0,70"
display 1b 20 02 00 05 50 19 07 00 00,80,30,5,1,5,25,0,0,70,"0,0,70","0,0,70"
echo LOWER PANE ACTIVE (ROW 5 SPLIT),80,30,5,1,5,25,1,0,70,"0,0,70","0,0,70"
display 1b 21 00,80,30,5,0,0,5,0,0,70,"0,0,70","1,0,70"
echo UPPER PANE ACTIVE (5 LINES),80,30,5,0,0,5,1,0,70,"0,0,70","1,0,70"
display 1b 24,80,30,0,1,0,30,6,0,70,"0,0,70","1,0,70"
echo SPLIT ENDED FROM WINDOW 0,80,30,0,1,0,30,7,0,70,"0,0,70","1,0,70"
display 0c,80,30,0,1,0,30,0,0,70,"0,0,70","1,0,70"
display 1b 20 01 00 01 28 1d 07 00 00,40,30,1,1,1,29,0,0,70,"0,0,70","0,0,70"
echo LOWER PANE ACTIVE (40x30),40,30,1,1,1,29,1,0,70,"0,0,70","0,0,70"
display 1b 21 00,40,30,1,0,0,1,0,0,70,"0,0,70","1,0,70"
echo UPPER PANE ACTIVE (40x30),40,30,1,0,0,1,0,0,70,"0,0,70","1,0,70"
display 1b 21 01,40,30,1,1,1,29,1,0,70,"0,0,70","1,0,70"
echo BACK IN LOWER PANE,40,30,1,1,1,29,2,0,70,"0,0,70","1,0,70"
display 1b 24,40,30,0,1,0,30,3,0,70,"0,0,70","1,0,70"
echo SPLIT ENDED - COORDINATES NORMALIZED,40,30,0,1,0,30,4,0,70,"0,0,70","1,0,70"
display 1b 20 01 00 05 28 19 07 00 00,40,30,5,1,5,25,0,0,70,"0,0,70","0,0,70"
echo LOWER PANE ACTIVE (ROW 5 SPLIT),40,30,5,1,5,25,1,0,70,"0,0,70","0,0,70"
display 1b 21 00,40,30,5,0,0,5,0,0,70,"0,0,70","1,0,70"
echo UPPER PANE ACTIVE (5 LINES),40,30,5,0,0,5,1,0,70,"0,0,70","1,0,70"
display 1b 24,40,30,0,1,0,30,6,0,70,"0,0,70","1,0,70"
